City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
205,Ciro Marina,IT,82.49,clear sky,39.3732,17.126,Hotel Miramare
206,Pangnirtung,CA,51.4,scattered clouds,66.1451,-65.7125,Kilabuk Lodge
208,Gravdal,NO,55.72,broken clouds,68.1214,13.5031,Skreda Rorbusuiter
209,Ancud,CL,46.04,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
210,Samur,RU,72.1,clear sky,41.8253,48.486,Samur
211,Puerto Suarez,BO,78.28,clear sky,-18.95,-57.8,Hotel casa real
212,Fort Nelson,CA,74.79,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
213,Nemuro,JP,64.89,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
214,Guilin,CN,77.11,clear sky,25.2819,110.2864,Grand 0773 Hotel
215,Mount Gambier,AU,51.69,broken clouds,-37.8333,140.7667,The Commodore
216,Bozeman,US,82.67,overcast clouds,45.6796,-111.0386,Homewood Suites by Hilton Bozeman
217,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
218,Cortez,US,85.26,scattered clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
219,Tongren,CN,82.02,clear sky,27.7172,109.1853,Fanjing Mountain International Conference Center
220,Bolshoy Lug,RU,53.78,light rain,52.0779,104.0919,Metallurg
221,Gotsu,JP,81.1,clear sky,35.0,132.2167,Yurusato
222,Biak,ID,78.35,overcast clouds,-0.9131,122.8766,Penginapan Kim
223,Salalah,OM,76.03,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
224,Sanmenxia,CN,75.11,broken clouds,34.7747,111.1814,Pengzhou Hotel
225,Makakilo City,US,82.62,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
226,Puerto Ayora,EC,70.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
227,Aklavik,CA,75.18,broken clouds,68.2191,-135.0107,Aklavik Inn
228,Havelock,US,82.94,scattered clouds,34.8791,-76.9013,Sherwood Motel
229,Coquimbo,CL,53.33,few clouds,-29.9533,-71.3436,Hotel San Juan
231,Muriwai Beach,NZ,62.42,scattered clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
232,Binghamton,US,76.48,scattered clouds,42.0987,-75.918,"Holiday Inn Binghamton Downtown, an IHG Hotel"
233,Khatanga,RU,71.78,scattered clouds,71.9667,102.5,"""Khatanga"""
234,Chicama,PE,59.54,few clouds,-7.8447,-79.1469,Balihai Bungalows
235,Sabha,LY,81.99,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
236,Cabo San Lucas,MX,92.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
237,Cherskiy,RU,55.02,broken clouds,68.75,161.3,Gostinitsa
238,Chuy,UY,57.54,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
239,Turochak,RU,51.53,few clouds,52.2576,87.1224,"Usad'ba ""Lebed'"""
240,Aras,ES,64.81,overcast clouds,42.5617,-2.356,Jardines de Viana Spa
242,Kavieng,PG,82.9,light rain,-2.5744,150.7967,Nusa Island Retreat
243,Cidreira,BR,61.09,few clouds,-30.1811,-50.2056,Hotel Castelo
244,Fethiye,TR,69.67,clear sky,36.6217,29.1164,Club & Hotel Letoonia
245,Kanniyakumari,IN,78.12,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
246,Palimbang,PH,83.79,broken clouds,6.2106,124.1894,Felmar Beach resort
247,Castro,BR,59.7,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
248,Vila Velha,BR,71.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
