City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
219,Tongren,CN,27.7172,109.1853,82.02,76,3,3.36,clear sky
220,Bolshoy Lug,RU,52.0779,104.0919,53.78,96,100,10.16,light rain
221,Gotsu,JP,35.0,132.2167,81.1,78,4,4.09,clear sky
222,Biak,ID,-0.9131,122.8766,78.35,78,97,6.69,overcast clouds
223,Salalah,OM,17.0151,54.0924,76.03,96,100,8.63,overcast clouds
224,Sanmenxia,CN,34.7747,111.1814,75.11,87,84,7.81,broken clouds
225,Makakilo City,US,21.3469,-158.0858,82.62,58,19,17.63,few clouds
226,Puerto Ayora,EC,-0.7393,-90.3518,70.56,92,88,3.0,overcast clouds
227,Aklavik,CA,68.2191,-135.0107,75.18,36,61,14.74,broken clouds
228,Havelock,US,34.8791,-76.9013,82.94,88,36,8.99,scattered clouds
229,Coquimbo,CL,-29.9533,-71.3436,53.33,82,20,5.75,few clouds
230,Amapa,BR,1.0,-52.0,73.0,98,76,2.08,light rain
231,Muriwai Beach,NZ,-36.8167,174.45,62.42,76,35,18.25,scattered clouds
232,Binghamton,US,42.0987,-75.918,76.48,70,41,1.99,scattered clouds
233,Khatanga,RU,71.9667,102.5,71.78,42,37,5.57,scattered clouds
234,Chicama,PE,-7.8447,-79.1469,59.54,82,22,6.24,few clouds
235,Sabha,LY,27.0377,14.4283,81.99,25,0,13.24,clear sky
236,Cabo San Lucas,MX,22.8909,-109.9124,92.5,62,7,10.0,clear sky
237,Cherskiy,RU,68.75,161.3,55.02,41,76,11.01,broken clouds
238,Chuy,UY,-33.6971,-53.4616,57.54,97,100,7.27,light rain
239,Turochak,RU,52.2576,87.1224,51.53,95,17,2.24,few clouds
240,Aras,ES,42.5617,-2.356,64.81,64,100,5.75,overcast clouds
241,Akdepe,TM,42.0551,59.3788,78.89,67,92,11.18,overcast clouds
242,Kavieng,PG,-2.5744,150.7967,82.9,78,40,16.71,light rain
243,Cidreira,BR,-30.1811,-50.2056,61.09,95,16,5.91,few clouds
244,Fethiye,TR,36.6217,29.1164,69.67,31,0,6.04,clear sky
245,Kanniyakumari,IN,8.0833,77.5667,78.12,80,100,15.08,overcast clouds
246,Palimbang,PH,6.2106,124.1894,83.79,71,81,5.84,broken clouds
